"","id","dept","gender","clin","cert","prate","exper","rank","sal94","sal95","log_sal94","log_sal95"
"1",1,"Biochemistry","Male","research","Not certified",7.4,9,"full",77836,84612,11.262359328078,11.345831379507
"2",2,"Biochemistry","Male","research","Not certified",6.7,10,"associate",69994,78497,11.1561648030721,11.2708156864797
"3",3,"Biochemistry","Male","research","Not certified",8.1,6,"assistant",62872,67756,11.048856192546,11.1236682957063
"4",4,"Biochemistry","Male","clinical","certified",5.1,27,"full",155196,173220,11.9524441132032,12.062317741885
"5",5,"Biochemistry","Male","research","Not certified",7,10,"full",89268,96099,11.3993983599793,11.473134189077
"6",6,"Biochemistry","Male","research","certified",7.7,10,"full",79714,87531,11.2862005080723,11.3797482953156
"7",7,"Biochemistry","Male","research","certified",8.3,9,"associate",89781,99972,11.4051286506121,11.5126454257629
"8",8,"Biochemistry","Male","clinical","certified",5.3,11,"full",151423,166601,11.9278325239032,12.0233570110978
"9",9,"Biochemistry","Male","research","Not certified",7.7,18,"full",81271,85437,11.305544528335,11.355534541218
"10",10,"Biochemistry","Male","research","Not certified",7.5,9,"associate",83018,91369,11.3268127307363,11.4226615314214
"11",11,"Biochemistry","Male","research","Not certified",6.8,12,"associate",80214,88676,11.2924533422112,11.3927445567138
"12",12,"Biochemistry","Male","research","certified",7.3,8,"associate",110302,116654,11.6109773374435,11.6669675674746
"13",13,"Biochemistry","Male","clinical","certified",5.4,18,"full",137106,149222,11.828509628269,11.9131904089648
"14",14,"Biochemistry","Male","research","Not certified",7.5,15,"associate",77545,85041,11.2586136919936,11.3508887721188
"15",15,"Biochemistry","Male","research","Not certified",6.8,10,"associate",90223,97640,11.4100396624601,11.4890425245069
"16",16,"Biochemistry","Male","research","Not certified",8.1,9,"full",81197,91800,11.3046335796544,11.4273675766086
"17",17,"Biochemistry","Male","research","Not certified",7.3,16,"full",90178,101828,11.4095407738627,11.5310403943954
"18",18,"Biochemistry","Male","research","certified",7.7,9,"full",105564,117743,11.5670726830407,11.6762595621285
"19",19,"Biochemistry","Male","research","Not certified",8.1,37,"associate",115804,126989,11.6596543858388,11.7518557475163
"20",20,"Biochemistry","Male","research","certified",7.2,14,"full",113149,124432,11.6364608131967,11.7315146609347
"21",21,"Biochemistry","Male","research","certified",8.6,27,"full",157510,168673,11.9672442272958,12.0357172083036
"22",22,"Biochemistry","Male","research","Not certified",7.1,14,"full",97104,104090,11.4835378480756,11.5530111885095
"23",23,"Biochemistry","Male","research","certified",7.3,17,"full",131815,145843,11.789154703376,11.8902859796292
"24",24,"Biochemistry","Male","research","certified",6.9,23,"full",134135,151837,11.8066020344697,11.9305628560089
"25",25,"Biochemistry","Male","research","certified",7.4,8,"full",92198,98155,11.4316937173354,11.4943031408421
"26",26,"Biochemistry","Male","research","certified",6.9,19,"full",99304,110321,11.5059411311958,11.6111495769656
"27",27,"Biochemistry","Male","research","Not certified",8,15,"associate",82132,90058,11.3160829880754,11.4082091861917
